"","spps","datasetID","study","genus","species","varetc","woody","forcetemp","forcetemp_night","photoperiod_day","response","response.time","Total_Chilling_Hours","chilltemp","chilldays","fieldsample.date","provenance.lat","provenance.long","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports","latbi","complex","force.z","photo.z","chill.z","phylo","crops","sppnum.x","sppnum.y","sppnum"
"1898","Populus_koreana","zohner16","exp1","Populus","koreana","","yes","18","14","8","timeonly",20.7681875,989,"","","21-Dec-2013",48.16447,11.50293,15.3333333333333,8,4.44791666666667,20.7681875,"exp","exp","fldest",989,61.1148070881309,"Populus_koreana",140,0.0250425542440613,-1.01301063451364,-0.488158162550802,"Populus_koreana","nocrop",2,2,2
"1899","Populus_koreana","zohner16","exp1","Populus","koreana","","yes","18","14","8","timeonly",18.7094375,1831,"","","10-Feb-2014",48.16447,11.50293,15.3333333333333,8,6.875,18.7094375,"exp","exp","fldest",1831,95.3468886724268,"Populus_koreana",140,0.0250425542440613,-1.01301063451364,0.638766304564391,"Populus_koreana","nocrop",2,2,2
"1900","Populus_koreana","zohner16","exp1","Populus","koreana","","yes","18","14","16","timeonly",17.9375,989,"","","21-Dec-2013",48.16447,11.50293,16.6666666666667,16,4.44791666666667,17.9375,"exp","exp","fldest",989,61.1148070881309,"Populus_koreana",140,0.259922028082395,0.52040382761553,-0.488158162550802,"Populus_koreana","nocrop",2,2,2
"1901","Populus_koreana","zohner16","exp1","Populus","koreana","","yes","18","14","16","timeonly",17.9375,1831,"","","10-Feb-2014",48.16447,11.50293,16.6666666666667,16,6.875,17.9375,"exp","exp","fldest",1831,95.3468886724268,"Populus_koreana",140,0.259922028082395,0.52040382761553,0.638766304564391,"Populus_koreana","nocrop",2,2,2
"1902","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","8","77.182",18,922,"","","15-Dec-1989",59.5,10.767,21,8,5.65625,18,"exp","exp","fldest",922,67.9051752905634,"Populus_tremula",141,1.02328031805698,-1.01301063451364,-0.264618380162789,"Populus_tremula","nocrop",3,3,3
"1903","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","24","100",18,1283,"","","15-Jan-1990",59.5,10.767,21,24,6.58541666666667,18,"exp","exp","fldest",1283,85.0291308339781,"Populus_tremula",141,1.02328031805698,2.0538182897447,0.299104408010268,"Populus_tremula","nocrop",3,3,3
"1904","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","8","100",18,1969,"","","15-Feb-1990",59.5,10.767,21,8,8.875,18,"exp","exp","fldest",1969,107.488373412348,"Populus_tremula",141,1.02328031805698,-1.01301063451364,1.03846552200257,"Populus_tremula","nocrop",3,3,3
"1905","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","24","100",18,2445,"","","15-Mar-1990",59.5,10.767,21,24,10.7416666666667,18,"exp","exp","fldest",2445,127.44676417941,"Populus_tremula",141,1.02328031805698,2.0538182897447,1.69549827720511,"Populus_tremula","nocrop",3,3,3
"1906","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","8","100",18,1283,"","","15-Jan-1990",59.5,10.767,21,8,6.58541666666667,18,"exp","exp","fldest",1283,85.0291308339781,"Populus_tremula",141,1.02328031805698,-1.01301063451364,0.299104408010268,"Populus_tremula","nocrop",3,3,3
"1907","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","24","100",18,1969,"","","15-Feb-1990",59.5,10.767,21,24,8.875,18,"exp","exp","fldest",1969,107.488373412348,"Populus_tremula",141,1.02328031805698,2.0538182897447,1.03846552200257,"Populus_tremula","nocrop",3,3,3
"1908","Populus_tremula","heide93","exp1","Populus","tremula","","yes","21","21","8","100",18,2445,"","","15-Mar-1990",59.5,10.767,21,8,10.7416666666667,18,"exp","exp","fldest",2445,127.44676417941,"Populus_tremula",141,1.02328031805698,-1.01301063451364,1.69549827720511,"Populus_tremula","nocrop",3,3,3
"1909","Populus_tremula","heide93","exp1","Populus","tremula","","yes","15","15","24","92.744",25,1283,"","","15-Jan-1990",59.5,10.767,15,24,6.58541666666667,25,"exp","exp","fldest",1283,85.0291308339781,"Populus_tremula",141,-0.0336773142155222,2.0538182897447,0.299104408010268,"Populus_tremula","nocrop",3,3,3
"1910","Populus_tremula","heide93","exp1","Populus","tremula","","yes","15","15","8","100",25,1969,"","","15-Feb-1990",59.5,10.767,15,8,8.875,25,"exp","exp","fldest",1969,107.488373412348,"Populus_tremula",141,-0.0336773142155222,-1.01301063451364,1.03846552200257,"Populus_tremula","nocrop",3,3,3
"1911","Populus_tremula","heide93","exp1","Populus","tremula","","yes","15","15","24","100",25,2445,"","","15-Mar-1990",59.5,10.767,15,24,10.7416666666667,25,"exp","exp","fldest",2445,127.44676417941,"Populus_tremula",141,-0.0336773142155222,2.0538182897447,1.69549827720511,"Populus_tremula","nocrop",3,3,3
"1912","Populus_tremula","heide93","exp1","Populus","tremula","","yes","15","15","8","62.881",25,1283,"","","15-Jan-1990",59.5,10.767,15,8,6.58541666666667,25,"exp","exp","fldest",1283,85.0291308339781,"Populus_tremula",141,-0.0336773142155222,-1.01301063451364,0.299104408010268,"Populus_tremula","nocrop",3,3,3
"1913","Populus_tremula","heide93","exp1","Populus","tremula","","yes","15","15","24","100",25,1969,"","","15-Feb-1990",59.5,10.767,15,24,8.875,25,"exp","exp","fldest",1969,107.488373412348,"Populus_tremula",141,-0.0336773142155222,2.0538182897447,1.03846552200257,"Populus_tremula","nocrop",3,3,3
"1914","Populus_tremula","heide93","exp1","Populus","tremula","","yes","15","15","8","100",25,2445,"","","15-Mar-1990",59.5,10.767,15,8,10.7416666666667,25,"exp","exp","fldest",2445,127.44676417941,"Populus_tremula",141,-0.0336773142155222,-1.01301063451364,1.69549827720511,"Populus_tremula","nocrop",3,3,3
"1915","Populus_tremula","heide93","exp1","Populus","tremula","","yes","9","9","24","96.53",42,1283,"","","15-Jan-1990",59.5,10.767,9,24,6.58541666666667,42,"exp","exp","fldest",1283,85.0291308339781,"Populus_tremula",141,-1.09063494648802,2.0538182897447,0.299104408010268,"Populus_tremula","nocrop",3,3,3
"1916","Populus_tremula","heide93","exp1","Populus","tremula","","yes","9","9","8","100",42,1969,"","","15-Feb-1990",59.5,10.767,9,8,8.875,42,"exp","exp","fldest",1969,107.488373412348,"Populus_tremula",141,-1.09063494648802,-1.01301063451364,1.03846552200257,"Populus_tremula","nocrop",3,3,3
"1917","Populus_tremula","heide93","exp1","Populus","tremula","","yes","9","9","24","100",42,2445,"","","15-Mar-1990",59.5,10.767,9,24,10.7416666666667,42,"exp","exp","fldest",2445,127.44676417941,"Populus_tremula",141,-1.09063494648802,2.0538182897447,1.69549827720511,"Populus_tremula","nocrop",3,3,3
"1918","Populus_tremula","heide93","exp1","Populus","tremula","","yes","9","9","8","59.727",42,1283,"","","15-Jan-1990",59.5,10.767,9,8,6.58541666666667,42,"exp","exp","fldest",1283,85.0291308339781,"Populus_tremula",141,-1.09063494648802,-1.01301063451364,0.299104408010268,"Populus_tremula","nocrop",3,3,3
"1919","Populus_tremula","heide93","exp1","Populus","tremula","","yes","9","9","24","100",42,1969,"","","15-Feb-1990",59.5,10.767,9,24,8.875,42,"exp","exp","fldest",1969,107.488373412348,"Populus_tremula",141,-1.09063494648802,2.0538182897447,1.03846552200257,"Populus_tremula","nocrop",3,3,3
"1920","Populus_tremula","heide93","exp1","Populus","tremula","","yes","9","9","8","100",42,2445,"","","15-Mar-1990",59.5,10.767,9,8,10.7416666666667,42,"exp","exp","fldest",2445,127.44676417941,"Populus_tremula",141,-1.09063494648802,-1.01301063451364,1.69549827720511,"Populus_tremula","nocrop",3,3,3
"1921","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","8","77.182",18,1019,"","","15-Dec-1990",59.5,10.767,21,8,5.19791666666667,18,"exp","exp","fldest",1019,65.1740630354463,"Populus_tremula",141,1.02328031805698,-1.01301063451364,-0.354526941964697,"Populus_tremula","nocrop",3,3,3
"1922","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","24","100",18,1443,"","","15-Jan-1991",59.5,10.767,21,24,6.03958333333333,18,"exp","exp","fldest",1443,80.8437190134089,"Populus_tremula",141,1.02328031805698,2.0538182897447,0.161320120077385,"Populus_tremula","nocrop",3,3,3
"1923","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","8","100",18,1550,"","","15-Feb-1991",59.5,10.767,21,8,6.23333333333333,18,"exp","exp","fldest",1550,88.6351561717912,"Populus_tremula",141,1.02328031805698,-1.01301063451364,0.417815219452221,"Populus_tremula","nocrop",3,3,3
"1924","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","24","100",18,1946,"","","15-Mar-1991",59.5,10.767,21,24,6.83125,18,"exp","exp","fldest",1946,106.300561899067,"Populus_tremula",141,1.02328031805698,2.0538182897447,0.999362616345452,"Populus_tremula","nocrop",3,3,3
"1925","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","8","100",18,1443,"","","15-Jan-1991",59.5,10.767,21,8,6.03958333333333,18,"exp","exp","fldest",1443,80.8437190134089,"Populus_tremula",141,1.02328031805698,-1.01301063451364,0.161320120077385,"Populus_tremula","nocrop",3,3,3
"1926","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","24","100",18,1550,"","","15-Feb-1991",59.5,10.767,21,24,6.23333333333333,18,"exp","exp","fldest",1550,88.6351561717912,"Populus_tremula",141,1.02328031805698,2.0538182897447,0.417815219452221,"Populus_tremula","nocrop",3,3,3
"1927","Populus_tremula","heide93","exp2","Populus","tremula","","yes","21","21","8","100",18,1946,"","","15-Mar-1991",59.5,10.767,21,8,6.83125,18,"exp","exp","fldest",1946,106.300561899067,"Populus_tremula",141,1.02328031805698,-1.01301063451364,0.999362616345452,"Populus_tremula","nocrop",3,3,3
"1928","Populus_tremula","heide93","exp2","Populus","tremula","","yes","15","15","24","92.744",25,1443,"","","15-Jan-1991",59.5,10.767,15,24,6.03958333333333,25,"exp","exp","fldest",1443,80.8437190134089,"Populus_tremula",141,-0.0336773142155222,2.0538182897447,0.161320120077385,"Populus_tremula","nocrop",3,3,3
"1929","Populus_tremula","heide93","exp2","Populus","tremula","","yes","15","15","8","100",25,1550,"","","15-Feb-1991",59.5,10.767,15,8,6.23333333333333,25,"exp","exp","fldest",1550,88.6351561717912,"Populus_tremula",141,-0.0336773142155222,-1.01301063451364,0.417815219452221,"Populus_tremula","nocrop",3,3,3
"1930","Populus_tremula","heide93","exp2","Populus","tremula","","yes","15","15","24","100",25,1946,"","","15-Mar-1991",59.5,10.767,15,24,6.83125,25,"exp","exp","fldest",1946,106.300561899067,"Populus_tremula",141,-0.0336773142155222,2.0538182897447,0.999362616345452,"Populus_tremula","nocrop",3,3,3
"1931","Populus_tremula","heide93","exp2","Populus","tremula","","yes","15","15","8","62.881",25,1443,"","","15-Jan-1991",59.5,10.767,15,8,6.03958333333333,25,"exp","exp","fldest",1443,80.8437190134089,"Populus_tremula",141,-0.0336773142155222,-1.01301063451364,0.161320120077385,"Populus_tremula","nocrop",3,3,3
"1932","Populus_tremula","heide93","exp2","Populus","tremula","","yes","15","15","24","100",25,1550,"","","15-Feb-1991",59.5,10.767,15,24,6.23333333333333,25,"exp","exp","fldest",1550,88.6351561717912,"Populus_tremula",141,-0.0336773142155222,2.0538182897447,0.417815219452221,"Populus_tremula","nocrop",3,3,3
"1933","Populus_tremula","heide93","exp2","Populus","tremula","","yes","15","15","8","100",25,1946,"","","15-Mar-1991",59.5,10.767,15,8,6.83125,25,"exp","exp","fldest",1946,106.300561899067,"Populus_tremula",141,-0.0336773142155222,-1.01301063451364,0.999362616345452,"Populus_tremula","nocrop",3,3,3
"1934","Populus_tremula","heide93","exp2","Populus","tremula","","yes","9","9","24","96.53",42,1443,"","","15-Jan-1991",59.5,10.767,9,24,6.03958333333333,42,"exp","exp","fldest",1443,80.8437190134089,"Populus_tremula",141,-1.09063494648802,2.0538182897447,0.161320120077385,"Populus_tremula","nocrop",3,3,3
"1935","Populus_tremula","heide93","exp2","Populus","tremula","","yes","9","9","8","100",42,1550,"","","15-Feb-1991",59.5,10.767,9,8,6.23333333333333,42,"exp","exp","fldest",1550,88.6351561717912,"Populus_tremula",141,-1.09063494648802,-1.01301063451364,0.417815219452221,"Populus_tremula","nocrop",3,3,3
"1936","Populus_tremula","heide93","exp2","Populus","tremula","","yes","9","9","24","100",42,1946,"","","15-Mar-1991",59.5,10.767,9,24,6.83125,42,"exp","exp","fldest",1946,106.300561899067,"Populus_tremula",141,-1.09063494648802,2.0538182897447,0.999362616345452,"Populus_tremula","nocrop",3,3,3
"1937","Populus_tremula","heide93","exp2","Populus","tremula","","yes","9","9","8","59.727",42,1443,"","","15-Jan-1991",59.5,10.767,9,8,6.03958333333333,42,"exp","exp","fldest",1443,80.8437190134089,"Populus_tremula",141,-1.09063494648802,-1.01301063451364,0.161320120077385,"Populus_tremula","nocrop",3,3,3
"1938","Populus_tremula","heide93","exp2","Populus","tremula","","yes","9","9","24","100",42,1550,"","","15-Feb-1991",59.5,10.767,9,24,6.23333333333333,42,"exp","exp","fldest",1550,88.6351561717912,"Populus_tremula",141,-1.09063494648802,2.0538182897447,0.417815219452221,"Populus_tremula","nocrop",3,3,3
"1939","Populus_tremula","heide93","exp2","Populus","tremula","","yes","9","9","8","100",42,1946,"","","15-Mar-1991",59.5,10.767,9,8,6.83125,42,"exp","exp","fldest",1946,106.300561899067,"Populus_tremula",141,-1.09063494648802,-1.01301063451364,0.999362616345452,"Populus_tremula","nocrop",3,3,3
"1940","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","8","timeonly",25,2239,"","110","14-Mar-2012",48.403008,11.711811,7,8,7.50625,25,"ramped","exp","fldest",2239,103.547699511753,"Populus_tremula",141,-1.44295415724552,-1.01301063451364,0.90873803743324,"Populus_tremula","nocrop",3,3,3
"1941","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","12","timeonly",25,2239,"","110","14-Mar-2012",48.403008,11.711811,7,12,7.50625,25,"ramped","exp","fldest",2239,103.547699511753,"Populus_tremula",141,-1.44295415724552,-0.246303403449054,0.90873803743324,"Populus_tremula","nocrop",3,3,3
"1942","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","16","timeonly",25,2239,"","110","14-Mar-2012",48.403008,11.711811,7,16,7.50625,25,"ramped","exp","fldest",2239,103.547699511753,"Populus_tremula",141,-1.44295415724552,0.52040382761553,0.90873803743324,"Populus_tremula","nocrop",3,3,3
"1943","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","8","timeonly",37,1003,"","33","14-Dec-2011",48.403008,11.711811,7,8,3.61875,37,"ramped","exp","fldest",1003,51.6913728053825,"Populus_tremula",141,-1.44295415724552,-1.01301063451364,-0.798378814231914,"Populus_tremula","nocrop",3,3,3
"1944","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","12","timeonly",34,1003,"","33","14-Dec-2011",48.403008,11.711811,7,12,3.61875,34,"ramped","exp","fldest",1003,51.6913728053825,"Populus_tremula",141,-1.44295415724552,-0.246303403449054,-0.798378814231914,"Populus_tremula","nocrop",3,3,3
"1945","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","16","timeonly",32,1003,"","33","14-Dec-2011",48.403008,11.711811,7,16,3.61875,32,"ramped","exp","fldest",1003,51.6913728053825,"Populus_tremula",141,-1.44295415724552,0.52040382761553,-0.798378814231914,"Populus_tremula","nocrop",3,3,3
"1946","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","8","timeonly",31,1780,"","73","30-Jan-2012",48.403008,11.711811,7,8,5.82916666666667,31,"ramped","exp","fldest",1780,79.879632404017,"Populus_tremula",141,-1.44295415724552,-1.01301063451364,0.1295822666294,"Populus_tremula","nocrop",3,3,3
"1947","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","12","timeonly",29,1780,"","73","30-Jan-2012",48.403008,11.711811,7,12,5.82916666666667,29,"ramped","exp","fldest",1780,79.879632404017,"Populus_tremula",141,-1.44295415724552,-0.246303403449054,0.1295822666294,"Populus_tremula","nocrop",3,3,3
"1948","Populus_tremula","laube14a","exp1","Populus","tremula","","yes","7","","16","timeonly",31,1780,"","73","30-Jan-2012",48.403008,11.711811,7,16,5.82916666666667,31,"ramped","exp","fldest",1780,79.879632404017,"Populus_tremula",141,-1.44295415724552,0.52040382761553,0.1295822666294,"Populus_tremula","nocrop",3,3,3
"1949","Populus_tremula","laube14b","exp1","Populus","tremula","","yes","25.3","","16","timeonly",17.99,2044,"","","03-Mar-2012",48.403008,11.711811,25.3,16,6.72916666666667,17.99,"exp","exp","fldest",2044,95.9574954377482,"Populus_tremula",141,1.7807666211856,0.52040382761553,0.65886755671677,"Populus_tremula","nocrop",3,3,3
"1950","Populus_tremula","laube14b","exp1","Populus","tremula","","yes","25.3","","16","timeonly",14.57,2044,"","","03-Mar-2012",48.403008,11.711811,25.3,16,6.72916666666667,14.57,"exp","exp","fldest",2044,95.9574954377482,"Populus_tremula",141,1.7807666211856,0.52040382761553,0.65886755671677,"Populus_tremula","nocrop",3,3,3
"1851","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","8","timeonly",42.66666667,965,"0","0","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,2.38541666666667,42.66666667,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-0.327276656513439,-1.01301063451364,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1852","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","12","timeonly",66.66666667,965,"0","0","26-Jan-2015",45.932675,-74.02507,10,12,2.38541666666667,66.66666667,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-0.914475341109273,-0.246303403449054,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1853","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","8","timeonly",56.33333333,965,"0","0","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,2.38541666666667,56.33333333,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-1.20807468340719,-1.01301063451364,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1854","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","8","timeonly",76.75,965,"0","0","26-Jan-2015",45.932675,-74.02507,8.33333333333333,8,2.38541666666667,76.75,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-1.20807468340719,-1.01301063451364,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1855","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","12","timeonly",47.83333333,965,"0","0","26-Jan-2015",45.932675,-74.02507,10,12,2.38541666666667,47.83333333,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-0.914475341109273,-0.246303403449054,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1856","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","8","timeonly",55.83333333,965,"0","0","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,2.38541666666667,55.83333333,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-0.327276656513439,-1.01301063451364,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1857","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","8","timeonly",38.2,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,38.2,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-0.327276656513439,-1.01301063451364,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1858","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","8","timeonly",52.8,949,"0","0","21-Jan-2015",42.531705,-72.18992,13.3333333333333,8,2.36041666666667,52.8,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-0.327276656513439,-1.01301063451364,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1859","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","12","timeonly",55.6,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,55.6,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-0.914475341109273,-0.246303403449054,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1860","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","12","timeonly",68,949,"0","0","21-Jan-2015",42.531705,-72.18992,10,12,2.36041666666667,68,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-0.914475341109273,-0.246303403449054,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1861","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","12","timeonly",34,965,"0","0","26-Jan-2015",45.932675,-74.02507,15,12,2.38541666666667,34,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-0.0336773142155222,-0.246303403449054,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1862","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","12","timeonly",43.16666667,965,"0","0","26-Jan-2015",45.932675,-74.02507,15,12,2.38541666666667,43.16666667,"exp","exp","bothest",965,62.1705815212995,"Populus_grandidentata",139,-0.0336773142155222,-0.246303403449054,-0.45340193431611,"Populus_grandidentata","nocrop",4,4,4
"1863","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","8","timeonly",40.8,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,40.8,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-1.20807468340719,-1.01301063451364,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1864","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","12","timeonly",31.2,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,31.2,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-0.0336773142155222,-0.246303403449054,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1865","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","12","timeonly",36,949,"0","0","21-Jan-2015",42.531705,-72.18992,15,12,2.36041666666667,36,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-0.0336773142155222,-0.246303403449054,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1866","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","15","5","8","timeonly",70.8,949,"0","0","21-Jan-2015",42.531705,-72.18992,8.33333333333333,8,2.36041666666667,70.8,"exp","exp","bothest",949,60.337337283142,"Populus_grandidentata",139,-1.20807468340719,-1.01301063451364,-0.513752567130838,"Populus_grandidentata","nocrop",4,4,4
"1867","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","12","timeonly",13.8,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,15,12,3.88541666666667,13.8,"exp","exp","bothest",1685,78.1051281597331,"Populus_grandidentata",139,-0.0336773142155222,-0.246303403449054,0.0711653618624789,"Populus_grandidentata","nocrop",4,4,4
"1868","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","8","timeonly",22.33333333,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,13.3333333333333,8,3.88541666666667,22.33333333,"exp","exp","bothest",1685,78.1051281597331,"Populus_grandidentata",139,-0.327276656513439,-1.01301063451364,0.0711653618624789,"Populus_grandidentata","nocrop",4,4,4
"1869","Populus_grandidentata","flynn18","exp1","Populus","grandidentata",NA,"yes","20","10","12","timeonly",24,1685,"1.5","30","26-Jan-2015",45.932675,-74.02507,15,12,3.88541666666667,24,"exp","exp","bothest",1685,78.1051281597331,"Populus_grandidentata",139,-0.0336773142155222,-0.246303403449054,0.0711653618624789,"Populus_grandidentata","nocrop",4,4,4
